Title,Location,Price,Size,Size_unit,Listing_Type
95 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,Sohar,130 OMR,95.0,Sq. M.,For Rent
Semi Furnished Monthly in Muscat Al Khoud,Al Khoud,40 OMR,140.0,Sq. M.,For Rent
180 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,Bosher,30 OMR,180.0,Sq. M.,For Rent
80 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,300 OMR,80.0,Sq. M.,For Rent
275 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,30 OMR,275.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,40 OMR,140.0,Sq. M.,For Rent
400 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,190 OMR,400.0,Sq. M.,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,100 OMR,300.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Al Kamil and Al Waafi,Al Kamil and Al Waafi,25 OMR,300.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,100.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,Chat,140.0,Sq. M.,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Muscat Seeb,Seeb,430 OMR,300.0,Sq. M.,For Rent
Furnished Weekly in Muscat Al Khoud,Al Khoud,110 OMR,140.0,Sq. M.,For Rent
360 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,Salala,150 OMR,360.0,Sq. M.,For Rent
1200 m2 Studio Apartments for Rent in Dhofar Salala,Salala,25 OMR,1200.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,60 OMR,140.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,Al Khuwair,250 OMR,100.0,Sq. M.,For Rent
فرصة مميزة للاستثمار معرض مع مخزن في الخوض – مقابل استاد السيب,Al Khoud,9 OMR,530.0,Sq. M.,For Rent
Semi Furnished Monthly in Muscat Al Khoud,Al Khoud,130 OMR,140.0,Sq. M.,For Rent
250 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,50 OMR,250.0,Sq. M.,For Rent
400 m2 4 Bedrooms Villa for Rent in Dhofar Salala,Salala,Chat,400.0,Sq. M.,For Rent
Flat at Al hail for rent شقه للايجار فالحيل الجنوبيه,Al-Hail,190 OMR,90.0,Sq. M.,For Rent
300 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,Al Maabilah,330 OMR,300.0,Sq. M.,For Rent
شقة للايجار اليوم,Salala,Chat,500.0,Sq. M.,For Rent
10 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,10.0,Sq. M.,For Rent
1 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,Sohar,160 OMR,1.0,Sq. M.,For Rent
Full Furnished Villa with all family facilities,Salala,100 OMR,188.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khuwair,Al Khuwair,90 OMR,140.0,Sq. M.,For Rent
180 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,Chat,180.0,Sq. M.,For Rent
80 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,12 OMR,80.0,Sq. M.,For Rent
محلات تجارية للإيجار,Rustaq,120 OMR,228.0,Sq. M.,For Rent
450 m2 More than 6 bedrooms Villa for Rent in Muscat Al Khoud,Al Khoud,500 OMR,450.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Amerat,Amerat,90 OMR,140.0,Sq. M.,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,25 OMR,80.0,Sq. M.,For Rent
‏For Rent: Spacious Ground Floor Apartment in South Maabilah – Near Gulf College,Al Maabilah,180 OMR,120.0,Sq. M.,For Rent
Ghala height complex,Ghala,450 OMR,120.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khoud,Al Khoud,110 OMR,140.0,Sq. M.,For Rent
525 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,800 OMR,525.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al-Hail,Al-Hail,150 OMR,140.0,Sq. M.,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Ghubrah,Ghubrah,120 OMR,65.0,Sq. M.,For Rent
Furnished Monthly in Al Batinah Saham,Saham,75 OMR,140.0,Sq. M.,For Rent
Aziba villa for rent 4+1,Azaiba,650 OMR,350.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Ghubrah,Ghubrah,120 OMR,140.0,Sq. M.,For Rent
600 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,1 OMR,600.0,Sq. M.,For Rent
Fully Furnished 4-Bedroom Villa with Maid’s Room & Private Pool  Muscat Bay,Qantab,"1,800 OMR",450.0,Sq. M.,For Rent
800 m2 More than 6 bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,40 OMR,800.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Ghubrah,Ghubrah,150 OMR,140.0,Sq. M.,For Rent
30 m2 1 Bedroom Apartments for Rent in Al Batinah Saham,Saham,5 OMR,30.0,Sq. M.,For Rent
4 Bedrooms Chalet for Rent in Al Sharqiya Sur,Sur,75 OMR,300.0,Sq. M.,For Rent
200 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,Bosher,10 OMR,200.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Maabilah,Al Maabilah,8 OMR,140.0,Sq. M.,For Rent
216 m2 4 Bedrooms Villa for Rent in Al Batinah Saham,Saham,200 OMR,216.0,Sq. M.,For Rent
200 m2 Studio Apartments for Rent in Al Batinah Barka,Barka,50 OMR,200.0,Sq. M.,For Rent
20 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Nizwa,Nizwa,10 OMR,20.0,Sq. M.,For Rent
600 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,90 OMR,600.0,Sq. M.,For Rent
For rent luxury Flat 3 BHK in Alamrat.,Amerat,190 OMR,100.0,Sq. M.,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,90 OMR,300.0,Sq. M.,For Rent
375 m2 4 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,Chat,375.0,Sq. M.,For Rent
COMMERCIAL SHOWROOM [BO-214],Bosher,"3,000 OMR",550.0,Sq. M.,For Rent
200 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,20 OMR,200.0,Sq. M.,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,20 OMR,1.0,Sq. M.,For Rent
170 m2 3 Bedrooms Apartments for Rent in Al Batinah Barka,Barka,230 OMR,170.0,Sq. M.,For Rent
"Premium Commercial office for Rent , Pavilion Building, Muscat Hills",Muscat Hills,390 OMR,62.0,Sq. M.,For Rent
90 m2 Studio Apartments for Rent in Muscat Bosher,Bosher,20 OMR,90.0,Sq. M.,For Rent
331 m2 4 Bedrooms Apartments for Rent in Dhofar Taqah,Taqah,85 OMR,331.0,Sq. M.,For Rent
500 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,Al Khuwair,150 OMR,500.0,Sq. M.,For Rent
1 ft² 1 Bedroom Apartments for Rent in Muscat Al Khoud,Al Khoud,110 OMR,140.0,Sq. M.,For Rent
single room second floor kitchen shared,Al-Hail,120 OMR,140.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khoud,Al Khoud,90 OMR,140.0,Sq. M.,For Rent
luxuryground floor flat in marsa garden,Al Mouj,480 OMR,108.0,Sq. M.,For Rent
300 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,300.0,Sq. M.,For Rent
Furnished Monthly in Muscat Bosher,Bosher,50 OMR,140.0,Sq. M.,For Rent
18th november room + bathroom + kitchen fully furnished utility included,Azaiba,230 OMR,50.0,Sq. M.,For Rent
Industrial Land for Rent in Al Batinah Barka,Barka,550 OMR,140.0,Sq. M.,For Rent
300 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,65 OMR,300.0,Sq. M.,For Rent
350 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,Salala,70 OMR,350.0,Sq. M.,For Rent
Furnished Daily in Dhofar Other,Other,25 OMR,140.0,Sq. M.,For Rent
محل تجاري للإيجار بشارع 18 نوفمبر بالعذيبة، Retail shop at,th November Street in Azaiba,550 OMR,58.0,Sq. M.,For Rent
165 m2 Studio Apartments for Rent in Muscat Al Khuwair,Al Khuwair,180 OMR,165.0,Sq. M.,For Rent
30 m2 Studio Apartments for Rent in Muscat Al Mawaleh,Al Mawaleh,130 OMR,30.0,Sq. M.,For Rent
luxury furnished flat with swimming pool view in muscat hills,Muscat Hills,400 OMR,100.0,Sq. M.,For Rent
222 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Other,Other,Chat,222.0,Sq. M.,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,Salala,120 OMR,300.0,Sq. M.,For Rent
300 m2 5 Bedrooms Villa for Rent in Dhofar Salala,Salala,80 OMR,300.0,Sq. M.,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,150.0,Sq. M.,For Rent
luxury villa in prime location in ansab فيلا راقيه بموقع ممير بمرتفعات الانصب,Ansab,500 OMR,300.0,Sq. M.,For Rent
500 m2 3 Bedrooms Villa for Rent in Dhofar Taqah,Taqah,150 OMR,500.0,Sq. M.,For Rent
محل مجهز للايجار 26 متر بالخوير,Al Khuwair,450 OMR,26.0,Sq. M.,For Rent
COMMERCIAL OFFICE SPACE [BO-213],Bosher,4 OMR,200.0,Sq. M.,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,190 OMR,130.0,Sq. M.,For Rent
محلات للأيجار في الموالح الجنوبية على الشارع العام,Al Mawaleh,"2,100 OMR",340.0,Sq. M.,For Rent
محل في الخوض السادسة في شارع حيوي للايجار قريب الجامعة وفي منطقة مكتضة بالسكان والبنوك,Al Khoud,240 OMR,47.0,Sq. M.,For Rent
289 m2 Studio Apartments for Rent in Dhofar Other,Other,25 OMR,289.0,Sq. M.,For Rent
للايجار اخر مخزن من المخازن الثلاث المجهزه في صناعيه الواسط ببركاء,Barka,550 OMR,300.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Khuwair,Al Khuwair,8 OMR,140.0,Sq. M.,For Rent
تخليص إجراءات المستثمرين للمصانع والمستودعات,Sohar,Chat,8000.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,50 OMR,100.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Khuwair,Al Khuwair,110 OMR,140.0,Sq. M.,For Rent
Darsait near ISM-Modern 2BHK flat with maid room for rent-OMR 275 only!!,Darsait,275 OMR,150.0,Sq. M.,For Rent
4 Bedrooms Chalet for Rent in Al Sharqiya Other,Other,90 OMR,400.0,Sq. M.,For Rent
600 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,Salala,100 OMR,600.0,Sq. M.,For Rent
120 m2 1 Bedroom Apartments for Rent in Muscat Ghala,Ghala,28 OMR,120.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Jalan Bani buhassan,Jalan Bani buhassan,80 OMR,160.0,Sq. M.,For Rent
90 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Nizwa,Nizwa,45 OMR,90.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Sohar,Sohar,45 OMR,120.0,Sq. M.,For Rent
محلات للإيجار في العامرات الحاجر مقابل محطة شل ب120 ريال,Amerat,120 OMR,23.0,Sq. M.,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,28 OMR,120.0,Sq. M.,For Rent
500 m2 1 Bedroom Apartments for Rent in Muscat Azaiba,Azaiba,200 OMR,500.0,Sq. M.,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,26 OMR,120.0,Sq. M.,For Rent
Industrial Land for Rent in Muscat Misfah,Misfah,800 OMR,140.0,Sq. M.,For Rent
Totel 4 Roms  2 room one bathroom for rent  only for Indian family sheaing villa,Wadi Al Kabir,100 OMR,2.0,Sq. M.,For Rent
Open Yard (Fully Blacktop) for Rent in Jifnain,Al Jafnayn,Chat,140.0,Sq. M.,For Rent
مخزن للايجار في منطقه حلبان الشارع العام,Al Rumais,"4,800 OMR",1470.0,Sq. M.,For Rent
200 m2 3 Bedrooms Villa for Rent in Dhofar Salala,Salala,70 OMR,200.0,Sq. M.,For Rent
Residential Land for Rent in Dhofar Other,Other,15 OMR,140.0,Sq. M.,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,45 OMR,120.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,1 OMR,100.0,Sq. M.,For Rent
فرصتك التجارية الذهبية في قلب المعبيلة! محلات للإيجار في موقع استراتيجي لا يُعوّض,Al Maabilah,180 OMR,25.0,Sq. M.,For Rent
60 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,65 OMR,60.0,Sq. M.,For Rent
Sharing apartment,Ghubrah,120 OMR,50.0,Sq. M.,For Rent
50 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,45 OMR,50.0,Sq. M.,For Rent
75 m2 2 Bedrooms Apartments for Rent in Muscat Al-Hail,Al-Hail,350 OMR,75.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,20 OMR,140.0,Sq. M.,For Rent
Furnished apartment for rent,Bosher,23 OMR,754.0,Sq. M.,For Rent
Furnished apartment - alqurm pdo,Qurm,450 OMR,140.0,Sq. M.,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,150 OMR,150.0,Sq. M.,For Rent
200 m2 3 Bedrooms Villa for Rent in Muscat Al-Hail,Al-Hail,380 OMR,200.0,Sq. M.,For Rent
200 m2 2 Bedrooms Apartments for Rent in Muscat Qurm,Qurm,380 OMR,200.0,Sq. M.,For Rent
1 Bedroom Chalet for Rent in Al Dakhiliya Nizwa,Nizwa,17 OMR,100.0,Sq. M.,For Rent
85 m2 2 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,Nizwa,15 OMR,85.0,Sq. M.,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,Al Mawaleh,300 OMR,100.0,Sq. M.,For Rent
118 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,Sur,30 OMR,118.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Khuwair,Al Khuwair,180 OMR,140.0,Sq. M.,For Rent
317 m2 4 Bedrooms Villa for Rent in Muscat Al Khoud,Al Khoud,500 OMR,317.0,Sq. M.,For Rent
Furnished Monthly in Muscat Qurm,Qurm,200 OMR,140.0,Sq. M.,For Rent
محلات للايجار المسفاة المرحلة الاولى على الشارع العام,Misfah,130 OMR,21.0,Sq. M.,For Rent
70 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,Al Khoud,320 OMR,70.0,Sq. M.,For Rent
Furnished Monthly in Muscat Ghubrah,Ghubrah,250 OMR,140.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,Barka,95 OMR,515.0,Sq. M.,For Rent
2bedroom flat behind Apolo hospital Al hail,Al-Hail,150 OMR,500.0,Sq. M.,For Rent
Industrial Land for Rent in Muscat Al Jafnayn,Al Jafnayn,500 OMR,140.0,Sq. M.,For Rent
1200 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,Sohar,120 OMR,1200.0,Sq. M.,For Rent
محلات للإيجار صحار عمق Shops for rent in Sohar Amq,Sohar,55 OMR,40.0,Sq. M.,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,25 OMR,250.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,7 OMR,140.0,Sq. M.,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Ansab,Ansab,230 OMR,120.0,Sq. M.,For Rent
"1BHK FLAT FOR RENT IN RUWI-CBD, MUSCAT.",Ruwi,140 OMR,2076.0,Sq. M.,For Rent
"3-Bedroom Apartment for Rent — Al Khuwair, Muscat",Al Khuwair,500 OMR,160.0,Sq. M.,For Rent
Book your stay at cozy chalets,Mirbat,100 OMR,140.0,Sq. M.,For Rent
600 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,Chat,600.0,Sq. M.,For Rent
80 m2 1 Bedroom Apartments for Rent in Muscat Qurm,Qurm,330 OMR,80.0,Sq. M.,For Rent
2222 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,22 OMR,2222.0,Sq. M.,For Rent
280 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,12 OMR,280.0,Sq. M.,For Rent
1BHK Luxury Apartment,Bosher,410 OMR,73.0,Sq. M.,For Rent
مكتب للإيجار في بوشر شارع المهاء التجاري – شهرين مجاناً Office for Rent in Bousher 2 M free,Bosher,400 OMR,82.0,Sq. M.,For Rent
عقود إيجار مؤقتة temporary lease,Ruwi,70 OMR,20.0,Sq. M.,For Rent
FLAT FOR RENT Daily and Monthly,Salala,30 OMR,200.0,Sq. M.,For Rent
1 Bedroom Chalet for Rent in Dhofar Salala,Salala,30 OMR,38.0,Sq. M.,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,300.0,Sq. M.,For Rent
4 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,250 OMR,4.0,Sq. M.,For Rent
80 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,Sohar,110 OMR,80.0,Sq. M.,For Rent
666 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,Salala,100 OMR,666.0,Sq. M.,For Rent
100 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,"3,000 OMR",100.0,Sq. M.,For Rent
محل خياطه للبيع,Al-Hail,"2,000 OMR",40.0,Sq. M.,For Rent
60 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,Al Khuwair,180 OMR,60.0,Sq. M.,For Rent
Studio in Al Khuwair for rent,Al Khuwair,130 OMR,25.0,Sq. M.,For Rent
فله للأجار,Salala,60 OMR,101111111.0,Sq. M.,For Rent
2 Bedrooms Chalet for Rent in Muscat Amerat,Amerat,50 OMR,120.0,Sq. M.,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,90.0,Sq. M.,For Rent
139 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,45 OMR,139.0,Sq. M.,For Rent
Farm Land for Rent in Al Batinah Rustaq,Rustaq,20 OMR,140.0,Sq. M.,For Rent
450 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,Taqah,25 OMR,450.0,Sq. M.,For Rent
Furnished Daily in Muscat Bosher,Bosher,29 OMR,140.0,Sq. M.,For Rent
شقة مفروشة نضيفه جداا وجديده فرش جديد كل شي جديد,Salala,"75,000 OMR",200.0,Sq. M.,For Rent
Furnished Daily in Muscat Amerat,Amerat,5 OMR,140.0,Sq. M.,For Rent
20 m2 2 Bedrooms Apartments for Rent in Dhofar Other,Other,50 OMR,20.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,Al Mawaleh,100 OMR,140.0,Sq. M.,For Rent
570 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,Salala,100 OMR,570.0,Sq. M.,For Rent
Furnished Daily in Muscat Bosher,Bosher,18 OMR,140.0,Sq. M.,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,30 OMR,90.0,Sq. M.,For Rent
Furnished Monthly in Muscat Ansab,Ansab,120 OMR,140.0,Sq. M.,For Rent
285 m2 5 Bedrooms Villa for Rent in Muscat Al Mawaleh,Al Mawaleh,600 OMR,285.0,Sq. M.,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,300.0,Sq. M.,For Rent
300 ft² More than 6 bedrooms Townhouse for Rent in Dhofar Salala,Salala,110 OMR,140.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Khoud,Al Khoud,35 OMR,140.0,Sq. M.,For Rent
160 m2 2 Bedrooms Apartments for Rent in Dhofar Other,Other,40 OMR,160.0,Sq. M.,For Rent
200 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,1 OMR,200.0,Sq. M.,For Rent
160 m2 2 Bedrooms Townhouse for Rent in Al Dhahirah Dhank,Dhank,140 OMR,160.0,Sq. M.,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,Al Khuwair,280 OMR,65.0,Sq. M.,For Rent
300 m2 4 Bedrooms Villa for Rent in Muscat Seeb,Seeb,400 OMR,300.0,Sq. M.,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Ghala,Ghala,220 OMR,65.0,Sq. M.,For Rent
Farm Land for Rent in Al Batinah Barka,Barka,200 OMR,140.0,Sq. M.,For Rent
Furnished Monthly in Muscat Al Maabilah,Al Maabilah,90 OMR,140.0,Sq. M.,For Rent
50 m2 Studio Apartments for Rent in Muscat Al Khuwair,Al Khuwair,180 OMR,50.0,Sq. M.,For Rent
للايجار معرض ارضى فى موقع ممتاز مقابل حديقة الخوض و بجانب مركز البهجه - show room for rent in khoud,Al Khoud,"2,200 OMR",277.0,Sq. M.,For Rent
95 m2 2 Bedrooms Apartments for Rent in Muscat Al-Hail,Al-Hail,200 OMR,95.0,Sq. M.,For Rent
4 Bedrooms Chalet for Rent in Al Sharqiya Other,Other,100 OMR,280.0,Sq. M.,For Rent
shop for rent,Barka,"1,500 OMR",30.0,Sq. M.,For Rent
محلات للإيجار السنوي في قلب ولاية الرستاق الرمانية جنب محل بابوه للبناء والكهرباء  Shop For Rent,Rustaq,85 OMR,9.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Amerat,Amerat,80 OMR,140.0,Sq. M.,For Rent
130 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,130.0,Sq. M.,For Rent
500 m2 More than 6 bedrooms Villa for Rent in Muscat Qurm,Qurm,950 OMR,500.0,Sq. M.,For Rent
Furnished Daily in Dhofar Salala,Salala,25 OMR,140.0,Sq. M.,For Rent
95 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,95.0,Sq. M.,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,25 OMR,100.0,Sq. M.,For Rent
130 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,35 OMR,130.0,Sq. M.,For Rent
Apartment for Rent – Al Khuwair,Al Khuwair,165 OMR,145.0,Sq. M.,For Rent
120 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,Salala,40 OMR,120.0,Sq. M.,For Rent
Cafe/restaurant for sale/rent فرصة استثمارية ذهبية Golden Investment Opportunity,Azaiba,650 OMR,48.0,Sq. M.,For Rent
Apartment for Rent – Al Khuwair,Al Khuwair,245 OMR,145.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Al-Hail,Al-Hail,85 OMR,140.0,Sq. M.,For Rent
600 m2 5 Bedrooms Villa for Rent in Dhofar Salala,Salala,100 OMR,600.0,Sq. M.,For Rent
70 m2 Studio Apartments for Rent in Muscat Al Khuwair,Al Khuwair,140 OMR,70.0,Sq. M.,For Rent
160 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,Ja'alan Bani Bu Ali,Chat,160.0,Sq. M.,For Rent
110 m2 3 Bedrooms Apartments for Rent in Muscat Al Khuwair,Al Khuwair,430 OMR,110.0,Sq. M.,For Rent
96 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,20 OMR,96.0,Sq. M.,For Rent
Furnished Daily in Muscat Al-Sifah,Al-Sifah,20 OMR,140.0,Sq. M.,For Rent
3 Bedrooms Chalet for Rent in Muscat Quriyat,Quriyat,60 OMR,500.0,Sq. M.,For Rent
96 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,Al Maabilah,25 OMR,96.0,Sq. M.,For Rent
180 m2 Studio Apartments for Rent in Muscat Al-Hail,Al-Hail,20 OMR,180.0,Sq. M.,For Rent
460 m2 5 Bedrooms Villa for Rent in Dhofar Salala,Salala,120 OMR,460.0,Sq. M.,For Rent
Studio Chalet for Rent in Muscat Al-Hail,Al-Hail,20 OMR,180.0,Sq. M.,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,23 OMR,250.0,Sq. M.,For Rent
سوبرماركت فرصة في موقع مميز جدا للإيجار,Nakhl,"1,200 OMR",650.0,Sq. M.,For Rent
1 Bedroom Chalet for Rent in Dhofar Salala,Salala,50 OMR,50.0,Sq. M.,For Rent
Prime Shop for Rent – 51 sqm  Muscat Pavilion  Muscat Hills,Muscat Hills,400 OMR,51.0,Sq. M.,For Rent
Furnished Monthly in Al Dakhiliya Nizwa,Nizwa,120 OMR,140.0,Sq. M.,For Rent
مساحة مكتبيه 98 متر مربع في موقع مميز 98 sqm Office space on the prime location,Bosher,10 OMR,98.0,Sq. M.,For Rent
فيلا هوانا VIP,Salala,50 OMR,45.0,Sq. M.,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,Salala,Chat,90.0,Sq. M.,For Rent
محلات فخمة بالخوير مساحات منوعة خلف الجراند مول موقع استثنائي,Bosher,400 OMR,45.0,Sq. M.,For Rent
Furnished Daily in Al Dakhiliya Nizwa,Nizwa,6 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Mawaleh,Al Mawaleh,9 OMR,140.0,Sq. M.,For Rent
Furnished Daily in Muscat Al Maabilah,Al Maabilah,5 OMR,140.0,Sq. M.,For Rent
30 m2 1 Bedroom Apartments for Rent in Dhofar Salala,Salala,28 OMR,30.0,Sq. M.,For Rent
Flat for Rent,Darsait,160 OMR,100.0,Sq. M.,For Rent
"Warehouse for Rent (Ambient, Chiller, Frozen)",Sohar,"1,000 OMR",5000.0,Sq. M.,For Rent
ابحث عن محل للإيجار في سوق مطرح الشعبي,Muttrah,250 OMR,30.0,Sq. M.,For Rent
Aziba Prime location luxury Villa 6+1 BR New Prand For Rent بالعذيبه فيلا راقيه بموقع متميز أول ساكن,Azaiba,900 OMR,450.0,Sq. M.,For Rent
Furnished Monthly in Muscat Ghubrah,Ghubrah,150 OMR,140.0,Sq. M.,For Rent
Unfurnished Monthly in Muscat Ghubrah,Ghubrah,120 OMR,140.0,Sq. M.,For Rent
Semi Furnished Monthly in,Muscat Ansab,110 OMR,140.0,Sq. M.,For Rent
200 m2 Studio Apartments for Rent in Dhofar Taqah,Taqah,70 OMR,200.0,Sq. M.,For Rent
Furnished Monthly in Muscat Seeb,Seeb,90 OMR,140.0,Sq. M.,For Rent
150 m2 3 Bedrooms Townhouse for Rent in Al Dakhiliya Nizwa,Nizwa,100 OMR,150.0,Sq. M.,For Rent
325 m2 4 Bedrooms Villa for Rent in Dhofar Salala,Salala,Chat,325.0,Sq. M.,For Rent
Modern 3BHK Apartment in Wadi Al Kabir – OMR 230  شقة 3 غرف نوم عصرية في وادي الكبير – 230 ريال,Wadi Al Kabir,230 OMR,35.0,Sq. M.,For Rent
